site_name,population_id,admit_year,age_band,sex_group,race_group,ethnicity_group,hospitalizations,deaths,mortality_pct
UCMC,all_icu_adult,2018,18-39,Female,AIAN,Hispanic or Latino,5,0,0.0
UCMC,all_icu_adult,2018,18-39,Female,Asian,Not Hispanic or Latino,13,0,0.0
UCMC,all_icu_adult,2018,18-39,Female,Black,Hispanic or Latino,5,0,0.0
UCMC,all_icu_adult,2018,18-39,Female,Black,Not Hispanic or Latino,268,14,0.05223880597014925
UCMC,all_icu_adult,2018,18-39,Female,Black,Unknown,6,3,0.5
UCMC,all_icu_adult,2018,18-39,Female,NHPI,Hispanic or Latino,0,2,
UCMC,all_icu_adult,2018,18-39,Female,Other/Unknown,Hispanic or Latino,4,1,0.25
UCMC,all_icu_adult,2018,18-39,Female,Other/Unknown,Not Hispanic or Latino,4,0,0.0
UCMC,all_icu_adult,2018,18-39,Female,Other/Unknown,Unknown,4,0,0.0
UCMC,all_icu_adult,2018,18-39,Female,White,Hispanic or Latino,20,0,0.0
UCMC,all_icu_adult,2018,18-39,Female,White,Not Hispanic or Latino,109,4,0.03669724770642202
UCMC,all_icu_adult,2018,18-39,Male,AIAN,Hispanic or Latino,0,1,
UCMC,all_icu_adult,2018,18-39,Male,Asian,Not Hispanic or Latino,8,3,0.375
UCMC,all_icu_adult,2018,18-39,Male,Black,Hispanic or Latino,1,3,3.0
UCMC,all_icu_adult,2018,18-39,Male,Black,Not Hispanic or Latino,345,23,0.06666666666666667
UCMC,all_icu_adult,2018,18-39,Male,Black,Unknown,5,2,0.4
UCMC,all_icu_adult,2018,18-39,Male,Other/Unknown,Hispanic or Latino,28,1,0.03571428571428571
UCMC,all_icu_adult,2018,18-39,Male,Other/Unknown,Not Hispanic or Latino,12,0,0.0
UCMC,all_icu_adult,2018,18-39,Male,Other/Unknown,Unknown,8,4,0.5
UCMC,all_icu_adult,2018,18-39,Male,White,Hispanic or Latino,18,3,0.16666666666666666
UCMC,all_icu_adult,2018,18-39,Male,White,Not Hispanic or Latino,88,8,0.09090909090909091
UCMC,all_icu_adult,2018,18-39,Male,White,Unknown,0,1,
UCMC,all_icu_adult,2018,40-64,Female,AIAN,Hispanic or Latino,3,0,0.0
UCMC,all_icu_adult,2018,40-64,Female,AIAN,Not Hispanic or Latino,2,2,1.0
UCMC,all_icu_adult,2018,40-64,Female,Asian,Hispanic or Latino,2,0,0.0
UCMC,all_icu_adult,2018,40-64,Female,Asian,Not Hispanic or Latino,12,0,0.0
UCMC,all_icu_adult,2018,40-64,Female,Black,Hispanic or Latino,2,4,2.0
UCMC,all_icu_adult,2018,40-64,Female,Black,Not Hispanic or Latino,735,62,0.08435374149659863
UCMC,all_icu_adult,2018,40-64,Female,Black,Unknown,4,1,0.25
UCMC,all_icu_adult,2018,40-64,Female,NHPI,Hispanic or Latino,0,0,
UCMC,all_icu_adult,2018,40-64,Female,Other/Unknown,Hispanic or Latino,14,4,0.2857142857142857
UCMC,all_icu_adult,2018,40-64,Female,Other/Unknown,Not Hispanic or Latino,22,0,0.0
UCMC,all_icu_adult,2018,40-64,Female,Other/Unknown,Unknown,17,2,0.11764705882352941
UCMC,all_icu_adult,2018,40-64,Female,White,Hispanic or Latino,21,0,0.0
UCMC,all_icu_adult,2018,40-64,Female,White,Not Hispanic or Latino,226,20,0.08849557522123894
UCMC,all_icu_adult,2018,40-64,Female,White,Unknown,0,0,
UCMC,all_icu_adult,2018,40-64,Male,AIAN,Hispanic or Latino,0,2,
UCMC,all_icu_adult,2018,40-64,Male,AIAN,Not Hispanic or Latino,3,3,1.0
UCMC,all_icu_adult,2018,40-64,Male,Asian,Not Hispanic or Latino,28,0,0.0
